date,no3_mgL,q_Ls
5/1/2016,0.62,9061.376
5/1/2016,0.62,9066.583687
5/1/2016,0.62,9080.470854
5/1/2016,0.62,9208.927142
5/1/2016,0.6,9774.829168
5/1/2016,0.61,9809.547084
5/1/2016,0.61,9950.154642
5/1/2016,0.61,10089.0263
5/1/2016,0.62,10222.69028
5/1/2016,0.61,10257.4082
5/1/2016,0.62,10779.91283
5/1/2016,0.61,10861.49993
5/1/2016,0.6,10901.42553
5/1/2016,0.6,11279.85081
5/1/2016,0.59,11373.58919
5/1/2016,0.56,11972.47323
6/1/2016,0.13,17471.4656
6/1/2016,0.14,17471.64237
6/1/2016,0.17,17476.32685
6/1/2016,0.13,17532.08397
6/1/2016,0.12,17547.34536
6/1/2016,0.12,17559.52796
6/1/2016,0.12,17559.69
6/1/2016,0.12,17635.59922
6/1/2016,0.13,17635.90857
6/1/2016,0.12,17636.04115
6/1/2016,0.12,17681.64856
6/1/2016,0.12,17681.75167
6/1/2016,0.13,17756.83596
6/1/2016,0.12,17757.24843
6/1/2016,0.12,17757.32208
6/1/2016,0.12,17811.11996
6/1/2016,0.11,17811.91544
7/1/2016,0.24,11921.3728
7/1/2016,0.23,11921.40295
7/1/2016,0.23,11921.47332
7/1/2016,0.23,11924.67974
7/1/2016,0.23,11962.68447
7/1/2016,0.22,11962.78499
7/1/2016,0.22,11975.89215
7/1/2016,0.22,11980.39522
7/1/2016,0.23,11981.47073
7/1/2016,0.21,11981.54109
7/1/2016,0.2,12031.85891
7/1/2016,0.21,12033.48725
7/1/2016,0.2,12033.59782
7/1/2016,0.19,12033.65813
7/1/2016,0.19,12063.04872
7/1/2016,0.19,12064.28505
7/1/2016,0.18,12064.99871
7/1/2016,0.18,12065.12938
7/1/2016,0.17,12098.81196
7/1/2016,0.17,12116.37194
7/1/2016,0.17,12116.45235
7/1/2016,0.17,12116.55286
7/1/2016,0.17,12152.16534
7/1/2016,0.16,12153.66301
7/1/2016,0.16,12163.71451
7/1/2016,0.15,12180.96289
8/1/2016,0.87,3482.9664
8/1/2016,0.91,3482.981083
8/1/2016,0.91,3495.000841
8/1/2016,0.89,3495.041955
8/1/2016,0.91,3497.79948
8/1/2016,0.91,3498.774452
8/1/2016,0.9,3500.477716
8/1/2016,0.88,3500.539386
8/1/2016,0.88,3515.24619
8/1/2016,0.86,3515.727802
8/1/2016,0.85,3515.754232
8/1/2016,0.84,3524.358652
8/1/2016,0.82,3524.928365
8/1/2016,0.79,3534.357987
8/1/2016,0.78,3539.831925
8/1/2016,0.77,3539.981694
8/1/2016,0.77,3548.339435
8/1/2016,0.75,3550.765118
8/1/2016,0.75,3551.12339
8/1/2016,0.75,3551.37007
8/1/2016,0.74,3551.957402
1/1/2017,0.2,19736.8096
1/1/2017,0.2,19736.89281
1/1/2017,0.2,19742.8836
1/1/2017,0.2,19804.82172
1/1/2017,0.2,19805.35431
1/1/2017,0.59,19826.38856
1/1/2017,0.2,19834.01018
1/1/2017,0.21,19836.42314
1/1/2017,0.21,19922.20793
1/1/2017,0.2,19922.47419
1/1/2017,0.2,19922.59067
1/1/2017,0.7,19973.41255
1/1/2017,0.2,19975.60917
1/1/2017,0.2,20009.37393
1/1/2017,0.19,20028.82736
1/1/2017,0.2,20059.43032
1/1/2017,0.18,20121.00233
1/1/2017,0.21,20123.41529
3/1/2017,0.44,11751.472
3/1/2017,0.39,11751.52154
3/1/2017,0.31,11754.74173
3/1/2017,0.42,11792.20485
3/1/2017,0.42,11792.22467
3/1/2017,0.24,11792.34357
3/1/2017,0.43,11805.54137
3/1/2017,0.42,11809.35605
3/1/2017,0.38,11810.77293
3/1/2017,0.43,11811.02063
3/1/2017,0.43,11860.31422
3/1/2017,0.4,11861.99862
3/1/2017,0.37,11862.07789
3/1/2017,0.36,11891.13881
3/1/2017,0.4,11893.10065
3/1/2017,0.4,11893.1601
3/1/2017,0.38,11893.34835
3/1/2017,0.39,11943.82102
3/1/2017,0.26,11943.87056
3/1/2017,0.27,11948.14102
3/1/2017,0.19,11976.84525
3/1/2017,0.37,11980.46176
3/1/2017,0.38,11981.67057
3/1/2017,0.37,11999.72342
4/1/2017,0.4,10052.464
4/1/2017,0.38,10052.4979
4/1/2017,0.37,10052.57418
4/1/2017,0.37,10055.25252
4/1/2017,0.37,10087.29926
4/1/2017,0.36,10096.11402
4/1/2017,0.37,10103.00479
4/1/2017,0.28,10103.19126
4/1/2017,0.37,10145.56144
4/1/2017,0.36,10147.01079
4/1/2017,0.37,10147.04469
4/1/2017,0.35,10147.08707
4/1/2017,0.33,10171.92944
4/1/2017,0.32,10173.56526
4/1/2017,0.31,10173.57374
4/1/2017,0.32,10216.58808
4/1/2017,0.32,10216.62198
4/1/2017,0.3,10216.78302
4/1/2017,0.26,10216.91863
4/1/2017,0.32,10217.00339
4/1/2017,0.43,10247.88048
4/1/2017,0.37,10248.34664
4/1/2017,0.29,10249.37221
4/1/2017,0.29,10249.51629
4/1/2017,0.29,10271.35826
5/1/2017,0.11,15121.1712
5/1/2017,0.11,15121.2477
5/1/2017,0.1,15121.32419
5/1/2017,0.05,15173.23979
5/1/2017,0.09,15173.58403
5/1/2017,0.09,15173.63503
5/1/2017,0.09,15190.32401
5/1/2017,0.09,15195.64051
5/1/2017,0.1,15197.47642
5/1/2017,0.09,15218.48745
5/1/2017,0.09,15263.21239
5/1/2017,0.08,15263.45463
5/1/2017,0.09,15263.59487
5/1/2017,0.09,15303.32204
5/1/2017,0.08,15329.9938
5/1/2017,0.08,15368.05079
5/1/2017,0.08,15393.16713
5/1/2017,0.08,15417.07228
5/1/2017,0.08,15418.53846
5/1/2017,0.1,15421.16484
6/1/2017,0.27,12629.2928
6/1/2017,0.19,12629.32475
6/1/2017,0.25,12629.33539
6/1/2017,0.25,12673.05762
6/1/2017,0.24,12673.14281
6/1/2017,0.23,12686.26161
6/1/2017,0.22,12686.31485
6/1/2017,0.24,12692.92749
6/1/2017,0.21,12692.98073
6/1/2017,0.21,12746.24391
6/1/2017,0.2,12748.10737
6/1/2017,0.19,12748.16062
6/1/2017,0.19,12748.25645
6/1/2017,0.19,12780.77659
6/1/2017,0.18,12781.44744
6/1/2017,0.19,12781.52198
6/1/2017,0.21,12781.57522
6/1/2017,0.17,12835.84999
6/1/2017,0.17,12836.14814
6/1/2017,0.15,12875.1212
6/1/2017,0.15,12877.01661
6/1/2017,0.18,12877.06985
6/1/2017,0.18,12904.2871
