date,no3_mgL,q_Ls
5/1/2016,1,4769.790989
5/1/2016,1,4769.850237
5/1/2016,0.99,4769.873936
5/1/2016,0.99,4775.0285
5/1/2016,1,4881.899802
5/1/2016,0.96,4883.416548
5/1/2016,0.93,4884.352664
5/1/2016,0.94,4884.376363
5/1/2016,0.86,5328.836085
5/1/2016,0.84,5329.53521
5/1/2016,0.8,5329.618157
5/1/2016,0.82,5331.265248
5/1/2016,0.74,5344.056862
5/1/2016,0.82,5464.098965
5/1/2016,0.83,5497.911723
5/1/2016,0.81,5720.600755
5/1/2016,0.8,5726.958051
5/1/2016,0.82,5765.244023
5/1/2016,0.79,5899.938123
5/1/2016,0.79,5922.416764
5/1/2016,0.81,5936.932491
6/1/2016,0.2,9768.531945
6/1/2016,0.28,9768.665419
6/1/2016,0.25,9768.713955
6/1/2016,0.24,9781.333276
6/1/2016,0.23,9998.834565
6/1/2016,0.24,10002.87517
6/1/2016,0.24,10892.98631
6/1/2016,0.24,10914.35422
6/1/2016,0.21,10914.47556
6/1/2016,0.23,10914.6697
6/1/2016,0.21,10944.60419
6/1/2016,0.2,10944.77406
6/1/2016,0.2,11189.74664
6/1/2016,0.2,11189.77091
6/1/2016,0.21,11189.84371
6/1/2016,0.18,12127.26517
6/1/2016,0.19,12150.10129
6/1/2016,0.18,12158.83774
7/1/2016,0.63,3712.805306
7/1/2016,0.6,3712.846812
7/1/2016,0.59,3712.883707
7/1/2016,0.59,3716.863737
7/1/2016,0.57,3798.848665
7/1/2016,0.56,3801.565047
7/1/2016,0.54,3801.72185
7/1/2016,0.53,3802.284496
7/1/2016,0.47,4147.79537
7/1/2016,0.45,4148.371852
7/1/2016,0.45,4153.126674
7/1/2016,0.42,4154.482559
7/1/2016,0.42,4164.439551
7/1/2016,0.41,4164.504117
7/1/2016,0.45,4164.527176
7/1/2016,0.4,4252.710436
7/1/2016,0.39,4254.241571
7/1/2016,0.39,4254.435269
7/1/2016,0.39,4279.23782
7/1/2016,0.38,4280.43229
7/1/2016,0.37,4457.864147
7/1/2016,0.36,4487.721289
7/1/2016,0.36,4591.165174
7/1/2016,0.38,4593.134435
7/1/2016,0.35,4609.308207
7/1/2016,0.35,
7/1/2016,0.34,
8/1/2016,1.69,843.2990468
8/1/2016,1.7,843.3105694
8/1/2016,1.7,843.3189494
8/1/2016,1.71,844.4041617
8/1/2016,1.71,863.1733077
8/1/2016,1.68,863.4592758
8/1/2016,1.67,863.5399335
8/1/2016,1.4,940.338611
8/1/2016,1.36,942.0994623
8/1/2016,1.32,942.2241151
8/1/2016,1.22,942.2398276
8/1/2016,1.17,942.2513502
